,clusters,mean
GCKR,2,0.0006044481166329949
AC110084.1,2,0.005315804831916333
C2orf71,14,0.000498260109810092
AC007401.2,7,0.003953512720004993
CDC42EP3,10,0.07074095372279414
TMEM178A,12,0.0015792858514551119
SLC8A1,12,0.04008271547428524
KCNG3,14,0.015234078117696667
NRXN1,4,0.2858335475392523
FBXO48,2,0.0038956152601265608
ANXA4,3,0.3692671413719551
ADD2,11,0.0033081971153752676
EGR4,1,0.00288124868335566
PCGF1,1,0.013111312650783868
LOXL3,14,0.00681926409020223
M1AP,6,0.0015571374256818872
TACR1,13,0.027592798241096107
EVA1A,3,0.02108466460176001
LRRTM4,10,0.11023114007834922
REG3G,13,0.5922331718192819
REG1A,13,1.0883061822807814
CTNNA2,9,0.08950961631148871
TRABD2A,8,0.011291459590632809
SH2D6,7,0.0008454086491901504
TMEM150A,16,0.01586623756924712
FABP1,16,0.000886607004449829
GPAT2,3,0.0009465142802055442
ASTL,13,0.0029959510873745713
DUSP2,13,0.06439833455376741
ITPRIPL1,11,0.0007802726226144638
ACTR1B,2,0.03812009363432005
LYG2,21,0.0002795920488896289
AFF3,1,0.013208492906619799
NCK2,0,0.11980531549390701
BUB1,0,0.005500910135206036
CKAP2L,0,0.005132573026137282
SCTR,5,0.14867537377543624
TMEM185B,19,0.006278590188444015
TFCP2L1,7,0.02431816996447512
CNTNAP5,1,0.03579111097944903
CCDC74A,2,0.0016035625358013835
MCM6,3,0.017495240852516462
CXCR4,11,0.0021295268638538384
LRP1B,15,0.032849011771770964
ZEB2,4,0.005435021858916168
EPC2,2,0.1113033455264811
KIF5C,4,0.08187112607855435
LYPD6B,0,0.05551156508246925
RND3,2,0.012799048845895932
AC023469.1,2,0.00041757103944865386
GALNT13,12,0.03146641616028755
KCNJ3,1,0.03998054884605244
NR4A2,12,0.015219331989231978
ACVR1C,14,0.1574235629496615
CCDC148,2,0.023599756144857487
PLA2R1,18,0.001552107158319887
DPP4,2,0.057828908372642575
GCG,12,0.3077049692659369
FAP,10,0.0030348823424813432
KCNH7,15,0.1908420745148157
GRB14,8,0.036079082657935156
SLC38A11,19,0.06888721001125654
TTC30B,3,0.007944239009559399
TTN,2,0.02598411285137151
ZNF385B,13,0.12589677527215776
NEUROD1,6,0.1930306152164572
PDE1A,9,0.01932340458826831
FRZB,2,0.02507772753771539
ZNF804A,7,0.02419858739472071
DIRC1,7,0.000443424227192998
COL3A1,8,0.021784008444510488
GLS,1,0.15800603368250316
STAT1,5,0.06839468352985562
TMEFF2,14,0.00902190080263469
C2orf66,1,0.0003870373350640466
ICA1L,12,0.06212957266956458
MDH1B,9,0.004333559951865635
FZD5,5,0.015756411094224532
MAP2,9,0.17361213962609442
ERBB4,11,0.07438152118852671
VWC2L,1,0.002538691670947365
IGFBP5,4,0.18791851123707987
FEV,1,0.02761737670915485
CRYBA2,4,0.1178646167642923
PTPRN,6,0.11829287255266098
SCG2,6,0.03573036241260345
WDFY1,16,0.08594395881984418
DOCK10,14,0.0436963229132788
HTR2B,7,0.0003308825325690688
NPPC,18,0.0007766702323796202
ECEL1,7,0.048713140342060236
KCNJ13,20,0.0014072258602114399
ARL4C,8,0.04341005201857661
HES6,11,0.01824329103464664
CNTN4,14,0.20840982488555088
BHLHE40,3,0.041813694373681445
OXTR,18,0.00029899105969148756
LHFPL4,12,0.012323295083988394
FANCD2OS,20,0.0005950682800218455
GHRL,17,0.042144465329853574
WNT7A,1,0.0003867226437927157
DAZL,18,0.00045394055869343554
SGOL1,0,0.006484791100997229
ZNF385D,14,0.014136457211289184
NKIRAS1,16,0.03978969899196181
RBMS3,5,0.04478834696871407
GADL1,2,0.009035222645634411
SUSD5,6,0.0010055986753971533
TRANK1,15,0.0095359307685599
SLC22A14,1,0.0015307177034144686
CYP8B1,17,0.0002916665160344545
TMEM158,1,0.002664051093470304
LTF,18,0.0006916001131591055
ALS2CL,20,0.0018986459907144816
IMPDH2,3,0.09290512671652588
AMIGO3,11,0.0017967463757049278
UBA7,16,0.002890457437568603
CAMKV,20,0.0040651619528660945
GNAT1,18,0.0002702342852271632
CACNA2D2,6,0.03558290355872137
VPRBP,8,0.044999260190072214
NT5DC2,15,0.0984919054545092
ITIH1,18,0.0006494713798477264
LRTM1,7,0.0003109802763297136
WNT5A,14,0.0014904320503620226
ERC2,14,0.06346561057467359
ARHGEF3,8,0.07382849462472474
ASB14,15,0.0034772746603982502
PTPRG,5,0.22205908200822447
CADPS,9,0.5470878521690096
FRMD4B,1,0.09164311695515848
PDZRN3,16,0.2748296342197865
ROBO2,14,0.2521273433305611
ROBO1,6,0.1764576035696596
CADM2,2,0.09513588711008068
VGLL3,3,0.05131172117139642
FILIP1L,5,0.027010226727787183
ABI3BP,17,0.010149086780043176
NFKBIZ,13,0.18791246530811867
GUCA1C,12,0.0003834155519755103
LSAMP,1,0.13124271286229097
RP11-484M3.5,13,0.0006909674998820715
NR1I2,11,0.000569517063766584
STXBP5L,12,0.057569436878435645
POLQ,3,0.007178216254493032
HCLS1,18,0.000796283436287135
CASR,4,0.14875387082936983
CCDC58,5,0.013265194778611145
SLC12A8,19,0.019506327240282083
RUVBL1,5,0.03156154301585332
RPN1,3,0.19042968121097023
KIAA1257,12,0.0030116191709639605
TF,3,0.0039495214953511595
AMOTL2,3,0.03953050808447677
CPB1,13,0.2938364811686124
TM4SF1,3,0.18879490221149342
WWTR1,0,0.15463083815220205
FAM194A,4,0.0027072773784164316
IGSF10,17,0.0042645045463957825
VEPH1,3,0.04960075143299619
C3orf80,1,0.00042489933699674606
RP11-432B6.3,2,0.003921369902048457
SMC4,0,0.05238569479044864
SPTSSB,11,0.012915630208671534
MECOM,13,0.26083790458339556
ACTRT3,7,0.0014235340119228238
PLD1,0,0.15996100411831904
NCEH1,8,0.022531429143111115
ECT2,0,0.009642603397443054
NLGN1,11,0.09173294874317604
NAALADL2,0,0.2195455939875645
KCNMB2,6,0.24530968276659249
PEX5L,14,0.06200786798684817
CCDC39,12,0.004352644041561662
MCF2L2,14,0.010367236050796197
CLCN2,11,0.007943614659993499
EHHADH,9,0.014915699052303003
LIPH,3,0.012034925959555265
KNG1,11,0.0003844311838824562
MASP1,11,0.002245725755574784
SST,17,0.33341995223602255
AC022498.1,11,0.0005804027000545487
FGF12,1,0.04894596094447083
ATP13A4,5,0.011503432630852479
HES1,3,0.08652674085735175
TM4SF19,8,0.00978782903214876
IQCG,16,0.033588476803561154
SLBP,5,0.05671714881416455
MSX1,18,0.0008620905637466254
CRMP1,4,0.06022589208145063
C4orf50,21,0.0003697829513896123
ABLIM2,6,0.027762243419658047
CD38,7,0.0002857427512153346
NCAPG,0,0.006878558927351811
SLIT2,5,0.05637120254195096
KCNIP4,11,0.01540965890117948
PPARGC1A,0,0.06451641376027643
DHX15,5,0.11909721135247404
SOD3,3,0.07653986821447525
LGI2,19,0.010512118064717942
PCDH7,7,0.03220270675244865
RELL1,14,0.029127931372637788
TMEM156,4,0.0005869572183660423
KCTD8,17,0.05357542598007307
YIPF7,6,0.0014169800971095044
GNPDA2,9,0.016727385698106594
CLOCK,9,0.10063478588559617
HOPX,1,0.005716808167919922
UGT2B17,5,0.0009735675350782558
UGT2A3,3,0.04664186527316384
MOB1B,6,0.13778048601905224
SLC4A4,0,0.5688356489510653
GC,12,0.026636180131483122
COX18,16,0.015613521961842132
AFP,3,0.0029810571346369015
IL8,20,0.0010705281295632497
CXCL1,15,0.004255022568529677
CXCL2,16,0.028234468939109972
FRAS1,15,0.19222331644680685
ANTXR2,5,0.020129145373738208
BMP3,6,0.0009122409771189625
SCD5,8,0.09368082901005985
PLAC8,1,0.004775692376777976
HPSE,11,0.0019177305080702249
NKX6-1,10,0.09283742650276491
MAPK10,9,0.12185866483050968
SPP1,0,0.04171766100688885
MMRN1,10,0.004439109790480023
CCSER1,14,0.3268514423139363
UNC5C,0,0.028032064817032194
TSPAN5,9,0.09710639107533847
ADH6,2,0.001338387405386676
ADH1B,8,0.0005664701325348302
H2AFZ,0,0.07985230881072622
CENPE,0,0.015334177374518884
CXXC4,12,0.13856870089856574
DKK2,3,0.03818961576026413
HADH,10,0.11750599696295953
RRH,2,0.0007195190032246051
EGF,13,0.043126221025470195
ARSJ,2,0.010211517572884276
TRAM1L1,15,0.007458934834190471
PDE5A,15,0.11653557386715203
CCNA2,5,0.007768508331451944
SLC25A31,11,0.0003195551041077617
PCDH10,1,0.0007550678382948428
RNF150,9,0.07037311853832913
INPP4B,2,0.07558284644534596
SFRP2,13,0.00040672965205061927
DCHS2,19,0.006244818851686165
C4orf45,15,0.004437832632413994
FSTL5,12,0.026938061096858996
CPE,6,0.5076950240290219
TLL1,0,0.01652376265050818
SPOCK3,4,0.024596885679224197
GALNTL6,1,0.0241830274141464
HMGB2,0,0.036233272399299216
GLRA3,1,0.006528785899587261
VEGFC,1,0.0030804444470765168
TENM3,4,0.17009767641503049
CLDN22,2,0.0008459446519283767
ACSL1,1,0.03829171240616989
RP11-701P16.2,21,0.00044093499176808473
SNX25,15,0.13180682040674502
PDLIM3,3,0.027469774409112118
ZFP42,12,0.0003541536478132417
SLC9A3,21,0.0004555003356038891
TPPP,10,0.0012601975894340428
SLC6A19,17,0.00033338499172319184
IRX2,6,0.046298489234210684
ADAMTS16,0,0.06182429099977486
ANKH,6,0.06748644888054839
FBXL7,2,0.03816485556656905
CDH18,4,0.02287800911914478
CDH12,10,0.03305041982328348
C5orf17,2,0.02852957510819493
PDZD2,14,0.1857094298176469
SLC45A2,14,0.0046843449651749434
IL7R,1,0.0016771450159925468
GDNF,2,0.001708682549127562
LIFR,16,0.024234860688943562
FYB,12,0.0016930342862725067
DAB2,5,0.025218481491656605
C6,0,0.03780796470575044
PLCXD3,10,0.13595562776796472
HMGCS1,13,0.21332819679225895
HCN1,19,0.013575997811816494
EMB,4,0.032232520536983146
ISL1,12,0.14207150878271887
ARL15,6,0.172491748144965
PLK2,9,0.04496538493104707
PDE4D,14,0.34027903157882206
CCNB1,5,0.010103439959702074
MAP1B,6,0.13915677607359309
ENC1,5,0.04788946755676231
POC5,15,0.013121096367573953
DMGDH,1,0.012831748995382692
BHMT,17,0.002366220641931724
HOMER1,1,0.040835794951975465
SERINC5,3,0.2647172101637417
ARRDC3,0,0.06706662002902762
SPATA9,2,0.0012481700014837214
GLRX,19,0.02363530866379501
PCSK1,10,0.14596021829310232
ST8SIA4,1,0.015594776086584227
SLCO4C1,19,0.007618644769791376
EPB41L4A,8,0.050483135140142896
MCC,1,0.08417349093238771
TRIM36,14,0.004469188545327446
PGGT1B,15,0.022143748294606587
SEMA6A,15,0.13277356977686602
PPIC,2,0.04700047208709353
FSTL4,4,0.009867534306055683
SKP1,2,0.14321084978123735
KIF20A,20,0.003123798143711666
CDC25C,0,0.009009120019498662
HSPA9,8,0.1441828388660034
NRG2,13,0.013400640595055214
CD14,17,0.0018183736793543324
PCDHA3,6,0.00035862315592019193
PCDHGA1,12,0.0010377148722115986
FCHSD1,5,0.0037378945371130184
KCTD16,3,0.36533531463537133
PLAC8L1,8,0.0019584095962719636
PPP2R2B,1,0.0372667210063344
DPYSL3,12,0.02208233122352287
JAKMIP2,4,0.04182094879178839
TIGD6,7,0.005377209745369609
PDGFRB,5,0.0031185846621119557
CD74,12,0.017900678638455653
DCTN4,4,0.09000306650750751
GPX3,1,0.031640607979923914
SGCD,10,0.1080753003048867
ADAM19,8,0.00500474288408488
EBF1,9,0.0084990726680665
PTTG1,5,0.008965687060132356
ATP10B,13,0.019489212557575346
GABRB2,2,0.0431770864460008
GABRG2,17,0.004076677707610805
AC112205.1,15,0.002723742361378351
HMMR,5,0.0070141884977987625
TENM2,6,0.11859501520201121
LCP2,7,0.00047205963097184936
DUSP1,3,0.4592541548202925
MXD3,0,0.01417592121622597
PRR7,10,0.016051321931845587
DBN1,8,0.06891321947965866
PDLIM7,2,0.01845220550826669
ADAMTS2,14,0.025097699952578524
LTC4S,11,0.0005563227622751724
HUS1B,14,0.0003392816473222171
FOXQ1,3,0.008634567916910849
SERPINB9,11,0.0040332106210614034
TUBB2B,4,0.022624023627295514
LYRM4,6,0.0775320738263405
F13A1,5,0.0012421131030429878
MAK,4,0.010857790528318489
ELOVL2,2,0.018540428193326942
EDN1,2,0.008712808719501749
AL441883.1,20,0.0012907754151341032
RBM24,11,0.00038199912372600454
NHLRC1,14,0.0013782699455144373
ID4,5,0.12275548365998572
SOX4,8,0.3502938396737061
DCDC2,0,0.1986543829801968
KIAA0319,1,0.03288526257437136
SLC17A1,2,0.0009609392014080409
HIST1H1A,0,0.0041328006621682975
HIST1H4A,18,0.00033181674997001683
HIST1H1C,3,0.10514919589081245
HIST1H4C,0,0.0652802596668635
HIST1H2BC,3,0.022985343303557837
HIST1H2AC,3,0.15577175110325509
HIST1H2BD,16,0.059401874321348816
HIST1H4E,16,0.0013409900871880658
HIST1H1D,0,0.01921925011850341
HIST1H4H,3,0.001941250079612787
ZNF322,16,0.0053791380491871495
HIST1H2BJ,5,0.006041064705603503
HIST1H2BK,3,0.1243374465606264
HIST1H3J,3,0.0020716417424919043
ZSCAN31,19,0.010392428863450235
ZNF311,19,0.0020750996123854327
TUBB,0,0.2522180638777201
FLOT1,8,0.07645939493746809
IER3,3,0.09958673531628029
ATP6V1G2,6,0.002367068669111974
C6orf47,19,0.024053618952974316
LY6G6C,7,0.0002815179927140067
SAPCD1,4,0.0005901395760964261
HSPA1A,10,0.18498914492937543
HSPA1B,10,0.15097505208045775
PBX2,19,0.04753706334331707
GPSM3,2,0.0019799449434793883
HLA-DQA2,7,0.00036146711640506714
ZBTB22,19,0.01734163173649845
GRM4,14,0.02387932452816598
KCNK17,6,0.021382890053393663
KCNK16,4,0.08339827013009363
LRFN2,7,0.04298306839307728
MDFI,20,0.00042205526331513967
FRS3,11,0.0031648521283192924
GUCA1B,18,0.0004695055964380198
TBCC,9,0.017892627021735524
CUL7,14,0.057328437272742803
SRF,19,0.03778844749751891
TCTE1,18,0.001164937433200188
RCAN2,4,0.04359767060571641
TNFRSF21,8,0.05174148377121418
PTCHD4,1,0.004814607866104079
PKHD1,3,0.1975505864999191
GSTA2,18,0.002737868542084265
KLHL31,12,0.0008115925827932802
HMGCLL1,4,0.05062046027899812
EYS,4,0.09587255260843597
BAI3,17,0.0280204395002925
COL12A1,11,0.009879533252898063
TTK,2,0.005216402425850038
FAM46A,6,0.05955623631813142
GABRR2,14,0.0007221931706869695
BACH2,2,0.057883923124863124
EPHA7,3,0.03672439291770282
MMS22L,5,0.02005721759303355
GRIK2,4,0.07070210131276489
QRSL1,15,0.033352343085364666
FYN,9,0.09156843770646901
HS3ST5,6,0.018069259536616058
RFX6,6,0.07604165404771356
MAN1A1,4,0.30893565542692897
SOGA3,10,0.010666233866436437
KIAA0408,15,0.007490825090107812
PTPRK,5,0.23538934612755616
SAMD3,10,0.025283461247759008
CTGF,0,0.10330699365670193
MAP3K5,13,0.08923657233040953
IL20RA,11,0.005685495410001091
KIAA1244,12,0.22436930613092768
CITED2,17,0.1374295587598812
PHACTR2,15,0.16994947468922425
PLAGL1,14,0.2763655962964875
SAMD5,1,0.137561086741063
RGS17,12,0.0562136128091432
TAGAP,21,0.0003954625584612415
AL078585.1,20,0.000320882845680051
PRR18,20,0.0021601076158234886
DACT2,2,0.01616152299695781
PRKAR1B,15,0.055882787902796216
ZFAND2A,14,0.026879028913574663
SDK1,4,0.27138553054742626
ACTB,8,0.4674881826830119
OCM,11,0.00037449872814385415
RPA3,3,0.016011487483740327
ETV1,12,0.029220571870721825
AGR3,0,0.004307630927556792
HDAC9,1,0.04476193324022062
TMEM196,10,0.06242763096051594
RAPGEF5,15,0.12010567089976279
NPY,7,0.002032810361772708
SKAP2,15,0.009772952276689034
JAZF1,9,0.06824645157200593
CPVL,13,0.018121248846417568
AQP1,0,0.08086462310955055
PDE1C,2,0.02701301863846458
AC005493.1,17,0.0007751438421512123
ELMO1,13,0.22645218972950076
AMPH,11,0.013151393324549232
POU6F2,2,0.07901346646304278
INHBA,17,0.001646909941471416
URGCP-MRPS24,7,0.0004844790556986552
GCK,10,0.07655779787277524
CAMK2B,6,0.06623647561360821
IGFBP3,6,0.0019392250873075105
PKD1L1,7,0.0011032301310317505
SEC61G,16,0.10267864158901972
PSPH,15,0.03037241790817937
WBSCR17,13,0.1869011153104488
CALN1,2,0.01926450955297495
TRIM50,19,0.0022952746981711714
BAZ1B,8,0.1527937099004706
MLXIPL,4,0.05553924773476268
STX1A,10,0.040824612998465425
CLDN4,3,0.24157282840046873
HIP1,15,0.05809537571849071
MAGI2,4,0.25616627824382165
SEMA3C,3,0.03649841285020973
CACNA2D1,9,0.21647796077492257
PCLO,9,0.1826773340721643
SEMA3A,12,0.047120003355637444
ABCB1,8,0.0030652424135778748
ZNF804B,7,0.0071826931516796285
CDK14,8,0.36379605365369105
HEPACAM2,6,0.06088814015831267
CALCR,17,0.009161607026303168
COL1A2,3,0.058308435639817545
PON1,15,0.000941102539123877
PDK4,12,0.033910094841130896
TMEM130,1,0.01563952551472258
ATP5J2-PTCD1,2,0.00189056136267722
ATP5J2,2,0.11691974970199291
CYP3A5,18,0.000735170244344506
AZGP1,18,0.0008035856360738215
C7orf43,9,0.008944296663225207
ACTL6B,4,0.00923405591567064
GIGYF1,15,0.06602779142931665
ACHE,16,0.0009406469082531936
VGF,11,0.005729920500953268
RASA4,14,0.004010970868759882
RP11-514P8.6,1,0.004027228989931456
SLC26A5,11,0.003355269595554728
RELN,2,0.019979374460665566
CDHR3,11,0.023327332973595044
IMMP2L,15,0.3419784382905079
GPR85,8,0.005325937412252702
FOXP2,10,0.17891873389981164
MDFIC,15,0.040168147802652196
CFTR,0,0.32504832628408026
CTTNBP2,5,0.07296298948920496
GPR37,5,0.008075708356518595
GRM8,2,0.01771687895124186
GCC1,15,0.014445949273547263
PAX4,1,0.007753414926611804
AHCYL2,9,0.11944815991937492
MEST,3,0.2472957650090087
COPG2,15,0.03960478325697586
PTN,9,0.00428536242046654
DENND2A,4,0.07047127656144914
TMEM178B,9,0.039543832591830655
PRSS1,13,0.9668655125091628
TRPV6,18,0.00791004422198366
KEL,21,0.00038239485577478414
CNTNAP2,14,0.170296476945576
RARRES2,13,0.42341371334708944
GIMAP8,4,0.0005015011039844448
GIMAP7,12,0.0003375739535167971
TMEM176B,11,0.018361165636425304
PRKAG2,10,0.03068065008881129
XRCC2,0,0.006340982008440499
