,clusters,mean
FABP1,5,0.08980429289771273
IGKC,0,0.011865470291873166
PROM2,5,0.0012567058360664466
LINC00342,20,0.2803120813507036
ANKRD36C,6,0.2980019205031748
DUSP2,23,0.021410238829707766
ZAP70,24,0.15236912973652653
C2orf15,3,0.000909873532543176
AC079447.1,20,0.0625425532748156
AFF3,11,0.21350071746815183
TBC1D8,17,0.2076422872314562
IL1R2,21,0.005446815786459717
IL18R1,4,0.07844882686293114
IL18RAP,12,0.04754604415402248
TMEM182,15,0.03442514999002586
SULT1C4,19,0.0029350505572300293
SH3RF3,2,0.0333111803083047
MIR4435-2HG,23,0.1296414605486039
MERTK,2,0.22965928334994223
IL1RN,3,0.003904962914308268
MARCO,2,0.18789694327278442
STEAP3-AS1,15,0.0033841792002853913
C2orf76,13,0.021810897523815216
GLI2,1,0.002426517201084528
AC011246.1,15,0.019739822237656024
AC023347.1,10,0.0005227745823653168
GPR17,9,0.0013539861941252553
LINC02572,7,0.001113924685223023
NCKAP5,17,0.288961177928149
MGAT5,1,0.47017596166100273
TMEM163,3,0.011059071948916104
CXCR4,1,0.039394461908003046
KYNU,2,0.22895606050893444
AC079793.1,20,0.248955728743782
ZEB2,9,0.6783369712041681
TEX41,9,0.01613651973638212
AC105402.3,1,0.12456425553497395
KIF5C,24,0.02880120615910462
LINC01818,7,0.09095145878552857
RND3,18,0.029886493520617733
CACNB4,9,0.022051039316876492
FMNL2,17,0.4914752330444791
AC012501.2,0,0.0026707155260744363
LINC01876,1,0.052312144388724814
NR4A2,9,0.02514840703304985
UPP2,1,0.03035785643831537
AC009313.1,6,0.03956780979536275
SLC4A10,12,0.08815145116047278
DPP4,4,0.08156617642936997
GALNT3,22,0.03490586840663906
DHRS9,21,0.02055751471233137
BBS5,2,0.03969253013141862
MYO3B,15,0.011215711943257007
ITGA6,4,0.06325265444214521
AC093459.1,0,0.010907230798409119
TTN,7,0.09600453543640655
AC092640.1,14,0.00986702406939772
CCDC141,25,0.029791803543099873
ZNF385B,16,0.1282434275762885
LINC01934,12,0.3029576177267443
AC021851.2,1,0.014842271796368864
