"gene","module","score"
"TMSB10",21,0.115263024101133
"TCF7L1",19,0.107175809031118
"GNLY",17,0.141385458453554
"CD8A",25,0.0387063565470932
"CD8B",17,0.0311332941401332
"AC068279.2",2,0.0027282676646132
"FABP1",6,0.0898042928977127
"IGKC",1,0.0118654702918732
"PROM2",6,0.00125670583606645
"LINC00342",21,0.280312081350704
"ANKRD36C",7,0.298001920503175
"DUSP2",24,0.0214102388297078
"ZAP70",25,0.152369129736527
"C2orf15",4,0.000909873532543176
"AC079447.1",21,0.0625425532748156
"AFF3",12,0.213500717468152
"TBC1D8",18,0.207642287231456
"IL1R2",22,0.00544681578645972
"IL18R1",5,0.0784488268629311
"IL18RAP",13,0.0475460441540225
"TMEM182",16,0.0344251499900259
"SULT1C4",20,0.00293505055723003
"SH3RF3",3,0.0333111803083047
"MIR4435-2HG",24,0.129641460548604
"MERTK",3,0.229659283349942
"IL1RN",4,0.00390496291430827
"MARCO",3,0.187896943272784
"STEAP3-AS1",16,0.00338417920028539
"C2orf76",14,0.0218108975238152
"GLI2",2,0.00242651720108453
"AC011246.1",16,0.019739822237656
"AC023347.1",11,0.000522774582365317
"GPR17",10,0.00135398619412526
"LINC02572",8,0.00111392468522302
"NCKAP5",18,0.288961177928149
"MGAT5",2,0.470175961661003
"TMEM163",4,0.0110590719489161
"CXCR4",2,0.039394461908003
"KYNU",3,0.228956060508934
"AC079793.1",21,0.248955728743782
"ZEB2",10,0.678336971204168
"TEX41",10,0.0161365197363821
"AC105402.3",2,0.124564255534974
"KIF5C",25,0.0288012061591046
"LINC01818",8,0.0909514587855286
"RND3",19,0.0298864935206177
"CACNB4",10,0.0220510393168765
"FMNL2",18,0.491475233044479
"AC012501.2",1,0.00267071552607444
"LINC01876",2,0.0523121443887248
"NR4A2",10,0.0251484070330498
"UPP2",2,0.0303578564383154
"AC009313.1",7,0.0395678097953628
"SLC4A10",13,0.0881514511604728
"DPP4",5,0.08156617642937
"GALNT3",23,0.0349058684066391
"DHRS9",22,0.0205575147123314
"BBS5",3,0.0396925301314186
"MYO3B",16,0.011215711943257
"ITGA6",5,0.0632526544421452
"AC093459.1",1,0.0109072307984091
"TTN",8,0.0960045354364066
"AC092640.1",15,0.00986702406939772
"CCDC141",26,0.0297918035430999
"ZNF385B",17,0.128243427576289
"LINC01934",13,0.302957617726744
"AC021851.2",2,0.0148422717963689
"ZNF804A",22,0.0392941090611484
"FSIP2-AS1",1,0.011708002557087
"AC007319.1",18,0.0840227971488526
"CALCRL",7,0.0161542769120481
"SLC40A1",11,0.156991623711275
"STAT4",13,0.425480133700654
"HSPD1",7,0.090559782069257
"PLCL1",14,0.193629318413307
"CDK15",4,0.00204295668997146
"FAM117B",7,0.112202712013518
"ICOS",13,0.0359323601124764
"NRP2",3,0.0777701739957573
"ADAM23",13,0.0207925749157975
"AC016743.1",11,0.00033478352499325
"CPS1",2,0.352837025732667
"AC093865.1",23,0.105487436018139
"IKZF2",25,0.180330217173275
"AC068051.1",2,0.023468264967516
"IGFBP2",1,0.0137124868171221
"DIRC3",1,0.113485421096284
"SLC11A1",22,0.0434528613522115
"PLCD4",20,0.00278873562382122
"CYP27A1",1,0.0774980250708275
"EPHA4",23,0.0371382419207021
"SGPP2",26,0.0102861895565137
"NYAP2",1,0.00185808191627498
"PID1",11,0.424007467491265
"SP140",17,0.150501291405412
"ASB18",15,0.000588271667396466
"RBM44",16,0.00663463652397823
"KIF1A",19,0.000762678249483943
"AC104809.2",3,0.0605826850325896
"SNED1",11,0.150392767633284
"GAL3ST2",20,0.00188193142315333
"CNTN4-AS2",6,0.000462637384318236
"AC034195.1",10,0.0413009054023275
"BHLHE40-AS1",5,0.0147765981569403
"SRGAP3",3,0.120700328657585
"IRAK2",16,0.0880626558409779
"HRH1",3,0.089090160994603
"PPARG",10,0.166942226933511
"WNT7A",25,0.00313685744031548
"SH3BP5",9,0.144942588774322
"COLQ",17,0.112112603776828
"AC090948.3",23,0.00342402225474271
"SATB1-AS1",21,0.0870474624991217
"KCNH8",4,0.00639343631815676
"AC061958.1",17,0.00814785725148655
"SGO1-AS1",5,0.147650906285613
"ZNF385D",8,0.100984304136676
"UBE2E2",18,0.404168783857196
"EOMES",13,0.0494812165382428
"LINC01967",15,0.00352309003635262
"RBMS3",3,0.229217492810052
"CMTM8",5,0.101072154185149
"LINC01811",16,0.0050759058982322
"STAC",7,0.00350065705658346
"ITGA9",3,0.22171578434148
"CX3CR1",2,0.042311869740932
"TOPAZ1",20,0.000809310285501888
"KIF15",16,0.00801892317192997
"LZTFL1",5,0.0474414089382836
"AC099782.2",2,0.00352986601153512
"CCR9",8,0.00244057563745756
"LINC02585",1,0.0013897765470408
"MON1A",1,0.0141282761076986
"CYB561D2.1",2,0.00269862189167933
"DOCK3",24,0.045721382191419
"STAB1",9,0.0965826192588869
"ITIH3",11,0.134984266043982
"CACNA2D3",22,0.0177477116596322
"LRIG1",21,0.0785022517811936
"TAFA1",13,0.116946682630794
"FRMD4B",3,0.495394344665865
"MITF",22,0.18106344564992
"LINC02018",15,0.018504923459093
"LINC02027",5,0.102072920693834
"CADM2",16,0.0210421410035362
"MTRNR2L12",17,0.381764750433212
"CMSS1",5,0.155604807921257
"FILIP1L",4,0.0769020250617783
"AC020651.2",10,0.00726808847175019
"LINC02085",3,0.00381317728530717
"ALCAM",9,0.217640879039378
"AC063944.1",7,0.00619026252813471
"TRAT1",13,0.0531423996850742
"MORC1",1,0.00149343614030045
"AC078980.1",2,0.00406157977083067
"CD200R1",6,0.0626058412874383
"AC078785.1",5,0.0284587171715476
"DRD3",15,0.00188353861184729
"AC093010.2",13,0.0284301093061162
"AC026341.1",15,0.0258784012777234
"AC068633.1",24,0.0106662374267303
"IGSF11",20,0.00623441800420426
"ARHGAP31",12,0.138720670122656
"POLQ",9,0.0106327040482002
"CD86",18,0.0763406184335657
"CASR",14,0.004488731449084
"ITGB5",10,0.103427278931027
"ALDH1L1",23,0.09883661791069
"MGLL",18,0.124500941676469
"GATA2",6,0.000836173434298959
"NPHP3-AS1",1,0.00249449061239644
"TMEM108",16,0.00448006616122075
"BFSP2-AS1",23,0.00268003460716211
"EPHB1",3,0.026436395608657
"ATP1B3",18,0.068987487806808
"SLC9A9",18,0.605451509731124
"AC107021.1",11,0.00996362116428017
"PLOD2",1,0.0570221755847654
"PFN2",6,0.00215009274298737
"P2RY14",7,0.0216518461009153
"MBNL1-AS1",17,0.0778686551521282
"AC084036.1",15,0.00217198232071065
"PPM1L",11,0.191204696353681
"WDR49",12,0.00901536099681619
"SLC2A2",20,0.113266925404251
"NCEH1",3,0.106373423386753
"NAALADL2",18,0.155882015428072
"LINC02015",1,0.0342722628376391
"SOX2-OT",23,0.034539278593559
"MCF2L2",23,0.0593345930319148
"MAP3K13",5,0.158995424635093
"ETV5",9,0.0781397336850995
"AHSG",5,0.158938998386055
"BCL6",7,0.0847404601548502
"TPRG1",4,0.446549611293938
"TP63",1,0.0156340731151649
"FGF12",7,0.0142282194057163
"MB21D2",10,0.0628110858930861
"HES1",11,0.0158713278191362
"ATP13A3",4,0.145319527899987
"MUC4",20,0.00312948885657746
"TFRC",16,0.0762297901199902
"TCTEX1D2",2,0.0295934838169676
"TM4SF19",1,0.00960686848739269
"SPON2",8,0.141207537276343
"FGFR3",20,0.0240201207368953
"NSD2",16,0.141193094218672
"C4orf48",14,0.00985851943868311
"STX18-AS1",5,0.0695497733839745
"AC005599.1",7,0.0100679023658539
"CLNK",7,0.0530465142161115
"AC092546.1",22,0.0283752172421158
"LINC00504",17,0.0201081053194884
"AC098829.1",12,0.0436066201212607
"LDB2",17,0.22808977227396
"AC093898.1",1,0.0127194233417294
"SLIT2",4,0.0138974246807393
"LINC02506",1,0.00664844112384002
"DTHD1",13,0.0793257759258565
"AC104078.2",13,0.0104698383907645
"TMEM156",24,0.131884559370264
"RBM47",9,0.543495532801473
"TXK",23,0.251375371673542
"CWH43",4,0.000660090224611051
"AC105384.1",2,0.00108181099877449
"KIT",16,0.0029390172406514
"KIAA1211",7,0.0056663296040624
"IGFBP7",7,0.0352226270250742
"AC116049.2",19,0.00269361798915687
"AFP",6,0.00453230705285359
"PARM1",7,0.00548093814879707
"AC096759.1",15,0.00161980446470323
"CDKL2",8,0.00268849204037539
"CNOT6L",5,0.340544657453008
"LINC01088",19,0.0113404741118919
"ANTXR2",5,0.154382965997322
"CFAP299",15,0.00741190531069995
"RASGEF1B",11,0.121718714994159
"SCD5",2,0.0183283904046156
"PLAC8",14,0.140334965451845
"GPAT3",18,0.0281956656944577
"WDFY3",9,0.286906687691564
"ARHGAP24",9,0.13517830373684
"PTPN13",21,0.0557064357943967
"AC093895.1",11,0.00281538254959225
"SPP1",7,0.00670211963199155
"FAM13A",3,0.124934222244081
"SNCA",3,0.0117123828053245
"CCSER1",7,0.134357176499119
"UNC5C",10,0.0616093675800076
"LINC02267",15,0.00763827023591441
"TSPAN5",17,0.168612540727045
"AP002026.1",21,0.0766368335435801
"BANK1",7,0.0242992858680398
"SLC39A8",24,0.0508112179192822
"AC109361.2",2,0.00047962771797567
