,clusters,mean
CEBPZ,0,0.02750652978835999
SLC8A1,1,0.013761807890064032
ZFP36L2,8,0.053682406190848464
ATP6V1E2,19,0.0023866683858012046
C2orf61,12,0.004608376488419631
CALM2,2,0.07810534899313565
KCNK12,10,0.0008326061518847314
NRXN1,1,0.02961278211164055
MTIF2,14,0.018370822860067772
EFEMP1,5,0.001528574636998104
ANXA4,17,0.11283545427024415
ASPRV1,18,0.0003231704401277312
VAX2,9,0.00033769084343965517
NAT8,3,0.013931900267314829
MOB1A,0,0.021196854344648415
LBX2,0,0.003979033419602962
PCGF1,11,0.002154304246204404
LRRTM4,0,0.014552727699427321
LRRTM1,19,0.0003120046668015064
TMSB10,4,0.0842476443868788
PLGLB1,10,0.004353189193713132
FABP1,2,0.5258976776551281
DUSP2,15,0.00029820639585002124
FAM178B,2,0.012113261265235866
ACTR1B,2,0.016305947260107603
KIAA1211L,12,0.0012625329790287585
MITD1,10,0.013007291825160807
LYG2,7,0.0007432652270149462
TXNDC9,19,0.009366042569838397
AFF3,17,0.11166652973370915
TGFBRAP1,9,0.010069692304484474
NCK2,5,0.09424969951052041
RGPD3,10,0.003229997314321556
NPHP1,9,0.003435002079848183
NT5DC4,15,0.0004897662914443211
CKAP2L,15,0.011732534030883236
SCTR,16,0.0024890277233551097
ANKRD30BL,5,0.04078765849813187
LRP1B,10,0.022360615167795413
ZEB2,1,0.022722246993695214
RBM43,0,0.0070522051411312904
TNFAIP6,9,0.0004068659075197845
RPRM,20,0.00043957852692715554
KCNJ3,6,0.0067066880617883875
ACVR1C,9,0.003774923668864298
CCDC148,17,0.02951437341353352
CD302,2,0.04904192397102479
IFIH1,14,0.004327208516820564
KCNH7,9,0.029598122202713805
SLC38A11,10,0.009923487122468619
SCN1A,11,0.000920424753025858
SPC25,5,0.017700585279122553
LRP2,5,0.001163662291081373
CCDC173,0,0.0021464201002238995
ERICH2,1,0.000895890709735995
TTC30A,3,0.0012457187896029126
ZNF385B,12,0.1287250739757523
ZNF804A,5,0.025106465548550505
CALCRL,14,0.0034640577689738156
GULP1,16,0.028620331776542395
COL3A1,8,0.034966744811820695
TMEM194B,18,0.009088731012184633
STAT1,18,0.03113094314869207
STAT4,12,0.017863034819176875
TMEFF2,2,0.002660019930227285
HECW2,6,0.028373135109036843
RFTN2,10,0.0684085556368492
BOLL,11,0.0002755514627408238
SATB2,0,0.012486558665496746
CLK1,12,0.027572228296823972
ALS2CR11,13,0.0025248250743001304
TMEM237,18,0.0056515638067157255
ICA1L,16,0.010886282897368791
DYTN,14,0.00022096402242569697
MYL1,8,0.00133055296151451
DIRC3,10,0.023481995607520352
IHH,2,0.00404111792693458
ASIC4,11,0.0004905389589082531
FAM124B,11,0.0003260192562422728
COL4A4,7,0.0016051030035985278
SP110,17,0.017855852826172317
HTR2B,9,0.0006792685796826869
NCL,3,0.04769476958915808
KCNJ13,9,0.0016834636783939062
HES6,3,0.004227126866302036
FARP2,12,0.06743841005788243
AC131097.4,11,0.0004116067294669427
LRRN1,4,0.001673484869271492
AC018816.3,19,0.004461797473987934
CAV3,7,0.0008145453393864485
OXTR,5,0.00048224800834950805
RAD18,13,0.02399616261957234
THUMPD3,13,0.021658899209612604
CIDEC,3,0.0004209777137653399
PRRT3,3,0.0017860397882383428
FANCD2OS,7,0.0006699853055384721
GHRL,18,0.0015548902918493036
C3orf83,19,0.0019650315813027415
TPRXL,7,0.000507101625110005
RFTN1,15,0.0019972118783351134
NGLY1,6,0.0694915036087813
NEK10,13,0.01607903820882905
RBMS3,10,0.15977317111777126
GPD1L,3,0.01484730480226686
CMTM6,1,0.0684497700475918
EPM2AIP1,6,0.028426186920372364
SCN5A,11,0.0007301463540343717
SCN11A,13,0.006017916663390864
TRAK1,6,0.10383659034718172
CYP8B1,2,0.025891852380785698
POMGNT2,0,0.004318740744248519
LZTFL1,19,0.009722768268042874
LRRC2,7,0.0036317365957968506
PTH1R,1,0.0017147643413541582
CDC25A,3,0.006405625339504716
UQCRC1,2,0.05784388550946522
CACNA2D2,0,0.0011262553970669586
CISH,1,0.005680331946437921
BAP1,8,0.02025552821602039
SEMA3G,7,0.00027895427196447203
ITIH3,1,0.22828765169584891
ACTR8,0,0.004707988910488708
SELK,1,0.013905800439774936
ASB14,7,0.0016044289103146197
FAM107A,13,0.0018425059732203384
C3orf67,13,0.022062659120359245
FAM19A1,10,0.04353728240637284
FAM19A4,12,0.020738289333097567
EOGT,17,0.00454396384170001
ZNF717,6,0.01153830272009984
ROBO2,10,0.22263290971690727
CADM2,16,0.0388216324579369
MTRNR2L12,4,0.013589842800932646
CLDND1,0,0.021653468078852375
DCBLD2,13,0.08537425491764947
CCDC80,1,0.0005003466027103351
LSAMP,0,0.021339672939026423
CD80,7,0.00046315708175544666
COX17,14,0.013905168378308509
