,clusters,mean
GALNT14,13,0.0037466461159088743
AC007382.1,10,0.00130425605282103
CEBPZ,12,0.03519166040355359
CDC42EP3,0,0.004029193002844411
HNRNPLL,8,0.02812950405327213
SLC8A1,3,0.02524445801083293
ZFP36L2,2,0.10818006265388179
ATP6V1E2,8,0.0027226281329666576
PIGF,15,0.011145535454505036
C2orf61,19,0.0026908430102831416
MTIF2,11,0.022168245739127467
PUS10,8,0.05308192232225587
PELI1,20,0.015554669806040592
C1D,13,0.01145700999925531
ARHGAP25,11,0.004857833806942793
GKN2,5,0.0009978792460124599
ANXA4,16,0.10415920925970368
SNRPG,13,0.01001655428893197
ANKRD53,9,0.0010310053316648835
NAT8,1,0.034015093440635774
MOB1A,2,0.0348228714813241
DCTN1,5,0.0375153222354169
LBX2,5,0.0056073063455749335
PCGF1,5,0.0029744518182142745
LOXL3,16,0.0019966446550836073
TRABD2A,2,0.017144062953705897
ST3GAL5,11,0.014272179748661516
KRCC1,16,0.03203556931562118
ZNF514,19,0.009212455542086542
STARD7,0,0.05953271268281639
FAM178B,6,0.0249206537950037
FAHD2B,5,0.005175620494597612
ACTR1B,1,0.02688277393811644
KIAA1211L,3,0.0014011031441605354
C2ORF15,5,0.0014337187975056226
MITD1,15,0.013236054635018065
TXNDC9,14,0.011483360695033272
AFF3,19,0.07551471873702924
POU3F3,3,0.0016936284713400176
TGFBRAP1,8,0.008816928313724343
NCK2,20,0.10811620973581297
RGPD3,8,0.0015244662529291175
ZC3H8,15,0.018260916843768463
RGPD8,8,0.0032780634719324917
NT5DC4,5,0.0007309221795788731
CKAP2L,11,0.014047324829523039
C2orf76,11,0.0049732720988496714
SCTR,16,0.004148237459143059
TFCP2L1,17,0.006031624107809574
ARHGEF4,5,0.0022730067951405755
NCKAP5,9,0.1962523878965973
ZEB2,5,0.037735934991918664
LYPD6B,17,0.005342088499705365
LYPD6,2,0.0027779184411398663
RBM43,5,0.012131257177902276
ACVR1C,15,0.003117305372499923
CCDC148,16,0.01833879867974004
KCNH7,20,0.03740481992297389
SLC38A11,9,0.00732024353694835
SCN1A,9,0.0014322565717852574
ABCB11,10,0.1390186907536888
CCDC173,7,0.003577320118462182
ERICH2,7,0.001749337379109327
NFE2L2,10,0.08930633185006755
TTC30A,13,0.0026767782242601546
ZNF385B,19,0.08236192065638484
ZNF804A,19,0.025681524055662746
CALCRL,5,0.005300277494857091
GULP1,9,0.026744303419862118
COL3A1,3,0.06840957072918705
TMEM194B,1,0.010302985298811686
STAT1,17,0.05305084574650698
STAT4,20,0.017924785085036234
TMEFF2,7,0.0058100035019556994
DNAH7,20,0.003501916849257783
HECW2,10,0.02000293147379762
CLK1,13,0.026795782716449484
ICA1L,17,0.010192446799442685
KANSL1L,20,0.0873761416302985
MYL1,5,0.001873182566687631
CPS1,10,1.5089967587823037
DIRC3,8,0.01893434444662686
IHH,20,0.00890591968593606
SLC23A3,12,0.002997944741490988
ASIC4,3,0.0009494174184696492
EPHA4,3,0.004494276307276944
CUL3,4,0.08524416902108507
COL4A4,20,0.002670114855517137
SP110,19,0.015943052151960995
TIGD1,7,0.0011135571022100066
IQCA1,16,0.01694599654943645
HES6,5,0.009306496049710908
AC062017.1,8,0.000989181829731188
KIF1A,1,0.002538342790150124
FARP2,17,0.05538264145321753
DTYMK,19,0.02056918967833568
SUMF1,9,0.10258627735933806
LRRN1,17,0.003080470568874104
AC018816.3,17,0.004986039072709874
SSUH2,4,0.01515357703831602
CAV3,2,0.0009103487086333094
OXTR,9,0.0009667874766865472
SRGAP3,19,0.05419759595219321
ARPC4-TTLL3,9,0.001468537499359728
CIDEC,8,0.0007311584519758959
PRRT3,5,0.0036860118993834435
FANCD2OS,11,0.0008254687062064515
C3orf83,0,0.002478473071311454
SH3BP5,3,0.0333614018657166
RFTN1,13,0.003260496479798051
PP2D1,3,0.0022119163695918436
NKIRAS1,2,0.024321771661614238
THRB,20,0.3368920289987604
NGLY1,2,0.0731239927043018
RBMS3,20,0.1277670545014818
GPD1L,6,0.027932696860762992
TRANK1,4,0.053971404246067556
EPM2AIP1,17,0.032276501625421804
SCN5A,7,0.0009044217108142295
