,clusters,mean
CHRM3,0,0.007601236543084815
AL646016.1,5,0.00010955740904112429
CHML,20,0.039119589009407194
AC092782.1,10,0.00021038944667659971
RP11-156E8.1,18,0.00013233026990714687
ZNF695,6,0.0033765477689417394
RAD51AP2,6,0.0009819869243636594
NT5C1B,15,0.0016697628442095957
PFN4,18,0.0012577107369558702
ADCY3,5,0.006223192045379454
GPR113,0,0.0019372292113470787
CIB4,14,0.0004609976742049769
CGREF1,0,0.00040636439168489886
SLC5A6,6,0.008093406215335915
SLC30A3,9,0.0001899479621931002
DNAJC5G,5,0.00012701331549807592
UCN,19,0.0009124683190332781
CCDC121,20,0.0016110710139957936
AC110084.1,12,0.0019192328375126897
GALNT14,10,0.0008890226310520516
XDH,13,0.0017056418196799011
AC007401.2,2,0.006137918623872703
CYP1B1,21,0.001020976821194771
CDKL4,5,0.004605606072624269
ZFP36L2,10,0.09652911069951473
SIX2,0,0.00012747653567407645
PRKCE,4,0.13338223303387298
NRXN1,4,0.04559048589621522
GPR75,6,0.002104460135890806
VRK2,0,0.051034267368608506
CNRIP1,21,0.0018800479863646893
VAX2,9,0.00025340386606488346
MOB1A,8,0.04835828968038204
WBP1,3,0.0017155748641196047
PCGF1,15,0.00582271545086601
LOXL3,12,0.0018597259637091938
TACR1,11,0.010232917851897205
EVA1A,21,0.06264625369831474
LRRTM4,7,0.013601880118886425
LRRTM1,16,0.0026593018523140086
SFTPB,10,0.9291527955453679
GNLY,9,0.00034188837479120864
CD8A,9,0.0005402519424807752
ASTL,5,9.498552595533069e-05
DUSP2,7,0.0009019895384496591
ANKRD39,0,0.00543534300566942
FAM178B,20,0.003590286754115838
ACTR1B,4,0.023354715661050667
AFF3,16,0.11250164232975057
CREG2,10,0.0008203676336254106
NCK2,4,0.058127506736526016
BUB1,3,0.01556845457440254
CKAP2L,5,0.016199665949883698
IL1RN,0,0.00024498588271772604
C1QL2,20,0.00015494166231090856
SCTR,5,0.005280939468734583
TMEM185B,18,0.004061261370833656
FLJ14816,9,8.473696608742779e-05
MYO7B,6,0.00024880392148117524
GPR17,2,8.289869902698773e-05
SMPD4,13,0.008949642091181232
CCDC74A,3,0.00034152006993711995
NCKAP5,10,0.11706620500545561
AC011755.1,4,0.00010422939572454988
TMEM163,5,0.1389310692320846
LCT,12,0.0004887852025276568
MCM6,17,0.028760008689222103
LRP1B,0,0.021192363787781582
KYNU,0,0.0014218638640885923
ZEB2,15,0.026259494259886506
RND3,0,0.008922187071868008
CACNB4,3,0.08315830253710522
GALNT13,13,0.0378209023417229
NR4A2,0,0.006499029632000152
CYTIP,12,0.0003552295624676577
ITGB6,0,0.06343429124844886
SCN1A,5,0.004712137446403634
SPC25,19,0.017872899586157367
DHRS9,9,0.00011728196491515828
LRP2,2,0.011952953953231532
AC007405.2,14,0.0012022998271100063
AC068039.1,14,0.00015294139046618285
ITGA6,1,0.0651130278296793
HOXD9,1,0.00012534712223983868
TTN,1,0.038999987859479356
CCDC141,5,0.01540658803272576
ZNF385B,16,0.06401710629299462
FRZB,7,0.0011854290557437434
ZNF804A,4,0.010675733516436694
AC018867.1,1,0.00011742651098017336
AC018867.2,12,0.00037978161780730097
CALCRL,17,0.0095389719885524
COL3A1,15,0.07497853619778116
SDPR,20,0.0763863928966678
TMEFF2,1,0.007081418268657763
DNAH7,0,0.023778168836762304
STK17B,0,0.046155126127216166
PLCL1,19,0.13431118131040926
CLK1,11,0.03329515445374298
FZD5,16,0.018274483063011333
ERBB4,4,0.226183803977683
FN1,4,0.07743891548083737
IGFBP5,10,0.09202666118838289
DIRC3,19,0.015264294440353942
IHH,14,0.0028677005990968406
SGPP2,2,0.03566229967611249
SERPINE2,17,0.004414035355071538
DOCK10,3,0.030546036137842174
COL4A4,12,0.0680799260395519
CCL20,2,0.012211127503546111
PID1,6,0.13218072818809218
NCL,4,0.14588194775507915
NPPC,9,0.00016375577925691816
KCNJ13,17,0.013555598655968476
AC064874.1,9,0.0001979306505471368
COL6A3,15,0.02525490868229141
HES6,2,0.0024082643817609846
AC110619.2,11,0.000614611505862131
PASK,0,0.005295277045922475
FARP2,3,0.06283906172158614
CNTN4,7,0.11500625326845608
OXTR,7,0.010034492243952612
PRRT3,3,0.006450275177886853
FANCD2OS,13,0.000899499022867183
GHRL,2,0.008201208240345828
DPH3,17,0.00544089364928582
PP2D1,8,0.002801932969083112
SGOL1,3,0.01211874796005824
ZNF385D,2,0.03246018469750398
NEK10,1,0.023011964113380533
RBMS3,4,0.4462026787958777
