C,Z,Pval,FDR,module,gene
0.7180361831444833,687.3993331202682,0.0,0.0,-1,MTRNR2L8
0.7395368119660051,578.5890513015629,0.0,0.0,114,LINC02694
0.625142444661474,525.413959268461,0.0,0.0,-1,AC105402.3
0.5899694026516602,504.7044898251018,0.0,0.0,4,ADAMTS17
0.5730344358379003,463.5585042034316,0.0,0.0,9,GNLY
0.6302410673279859,463.38354185788927,0.0,0.0,13,APOA1
0.5465185389100804,419.9950388622308,0.0,0.0,4,CD247
0.7694796521365764,404.9822222680508,0.0,0.0,19,VCAN
0.672120586615261,388.7841527007766,0.0,0.0,25,IFNG-AS1
0.498935720053472,370.9215104547382,0.0,0.0,11,MALAT1
0.5168461498499135,362.2145335193798,0.0,0.0,9,NKG7
0.6208127833954069,348.67158241390155,0.0,0.0,25,SLC4A10
0.45052255212902775,336.41137810944235,0.0,0.0,9,RAP1GAP2
0.6256708087876843,332.8818376197702,0.0,0.0,1,TCF7L2
0.4037324179744777,332.1527530307759,0.0,0.0,4,TOX2
0.42973587851041584,332.1194505266675,0.0,0.0,4,NCAM1
0.5460661083511709,330.8070625808396,0.0,0.0,5,THEMIS
0.47592976918183766,321.30094772749936,0.0,0.0,4,MCTP2
0.5128608392985139,316.8168548080022,0.0,0.0,11,IL7R
0.5251540289838722,311.9879462565882,0.0,0.0,13,APOA2
0.6066779320675321,304.97450312917175,0.0,0.0,8,B2M
0.7340720963568993,304.68729142394795,0.0,0.0,13,ALB
0.4637771314378444,303.61544764232315,0.0,0.0,3,PRKCH
0.41466118415392383,302.08479685468575,0.0,0.0,19,SLC11A1
0.5927393465671008,294.7136732364019,0.0,0.0,1,KCNMA1
0.45097553513434446,290.91390727044273,0.0,0.0,3,FYN
0.40136979012754326,288.19538820044113,0.0,0.0,4,KLRF1
0.5099717122447429,283.0813779818929,0.0,0.0,1,SIGLEC1
0.4250387520233128,283.0254249749559,0.0,0.0,4,TXK
0.3252878058297144,280.13766437491245,0.0,0.0,4,LINGO2
