C,Z,Pval,FDR,module,gene
0.7775996619031494,906.2345938422335,0.0,0.0,3,CHGA
0.8553333595726547,869.0123541295362,0.0,0.0,7,SST
0.6644687330535254,825.5892947603305,0.0,0.0,2,SLC4A4
0.7467906527262034,817.5292831083706,0.0,0.0,3,TTR
0.736801950704365,808.4098382887572,0.0,0.0,3,GCG
0.6214119972104817,798.1995388619719,0.0,0.0,2,CFTR
0.5508943079386849,746.8934339016344,0.0,0.0,22,GHRL
0.8334040835493287,745.6762507476116,0.0,0.0,1,INS
0.6499943428030375,741.3318226111151,0.0,0.0,2,ATP1B1
0.7186611090140077,725.0329902740492,0.0,0.0,1,PCSK1N
0.4586159171002047,586.7345174820686,0.0,0.0,2,CCND1
0.4598356052131074,580.3165768124553,0.0,0.0,2,TTYH1
0.67508868033353,558.7552839987561,0.0,0.0,1,GNAS
0.5046713738458241,526.301779429277,0.0,0.0,2,ANXA4
0.8260708391994439,524.4445447012857,0.0,0.0,6,SPINK1
0.5198769959431019,518.5730819958942,0.0,0.0,2,FXYD2
0.5515540776697807,518.0024866332652,0.0,0.0,3,KCNMB2
0.7805938872380277,517.8488205652301,0.0,0.0,6,CEL
0.8417928399903982,508.207768813657,0.0,0.0,6,CLPS
0.5150451261111129,501.76166110268554,0.0,0.0,3,PTPRT
0.5699949406884535,491.9356309396254,0.0,0.0,36,IGF2
0.43503119978813803,479.5010924569782,0.0,0.0,2,DCDC2
0.7774523675213926,466.49849599656164,0.0,0.0,6,CPA2
0.5664668400474474,464.89390545140725,0.0,0.0,1,ERO1LB
0.48963156750183306,456.820401742674,0.0,0.0,1,MAFB
0.3729956086302654,455.688890856293,0.0,0.0,8,CTGF
0.46060240411018,454.1259836033184,0.0,0.0,2,PDE3A
0.39665632656511873,446.7792257266345,0.0,0.0,2,SFRP5
0.5909691816405191,444.1621956380479,0.0,0.0,1,PLAGL1
0.55654456552643,442.09050928616756,0.0,0.0,1,CPE
0.39154883455452744,433.1203406035664,0.0,0.0,5,CACNA2D1
0.5291119808587039,427.3240416955224,0.0,0.0,1,MEIS2
0.533276357410861,425.97325960133185,0.0,0.0,1,ROBO2
0.7052821388661353,421.44368580919433,0.0,0.0,6,CTRB2
0.5073227167173243,420.5412123153598,0.0,0.0,1,PDE4D
0.7804966681718719,416.3960744297371,0.0,0.0,6,CTRB1
0.7495655440028228,413.77132416361025,0.0,0.0,6,CPA1
0.762035735136134,412.40837251404594,0.0,0.0,6,SYCN
0.4301090107915176,407.37835120847103,0.0,0.0,2,ATP1A1
0.38481073070962246,401.7148824705087,0.0,0.0,3,IRX2
0.5116494532318638,399.45017291958544,0.0,0.0,1,CCSER1
0.42041221076105123,397.01184006678824,0.0,0.0,3,ANKS1B
0.4394685137711951,397.00034786291246,0.0,0.0,3,HS6ST3
0.4719778087543019,394.30691510140946,0.0,0.0,7,NLGN1
0.30142560307285426,394.1405702053515,0.0,0.0,27,PAX4
0.7119324397980344,392.03263843510064,0.0,0.0,6,GP2
0.32967963436523157,391.6921686230541,0.0,0.0,3,ARX
0.37554747887470014,390.92936374580887,0.0,0.0,22,ACSL1
0.4193378411358858,388.1504985678695,0.0,0.0,7,KCTD8
0.4399650479490709,386.32599336517916,0.0,0.0,7,CNTN5
0.40835704046670973,384.75259467509255,0.0,0.0,2,NAALADL2
0.3901597427272418,383.6056397989132,0.0,0.0,3,CACNA1A
0.409309247304082,378.6964298634355,0.0,0.0,3,PTPRD
0.4921795445657173,378.5343788848416,0.0,0.0,1,SLC30A8
0.4652142598964352,377.54195703485453,0.0,0.0,1,ACVR1C
0.4197886563833994,375.48486355615813,0.0,0.0,3,PTPRN2
0.4153649705909457,374.56979374405796,0.0,0.0,3,GLS
0.4386874180940717,370.9368618427511,0.0,0.0,3,MAGI2
0.4477924752684227,370.2039542435455,0.0,0.0,1,PCSK1
0.34528244100411853,369.7571182547151,0.0,0.0,2,BICC1
0.4061351804391221,368.61511183387364,0.0,0.0,7,LEPR
