503,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
507,0.5,3,0.5,0.5,0.5,0.5,0.5,0.5,0.5
517,0.5,0.5,3,0.5,0.5,0.5,0.5,0.5,0.5
511,0.5,0.5,0.5,3,0.5,0.5,0.5,0.5,0.5
512,0.5,0.5,0.5,0.5,3,0.5,0.5,0.5,0.5
506,0.5,0.5,0.5,0.5,0.5,3,0.5,0.5,0.5
504,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,0.5
514,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5
515,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
513,0.5,2,0.5,0.5,0.5,0.5,2,0.5,0.5
509,2,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5
516,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,2
510,0.5,0.5,0.5,2,2,0.5,0.5,0.5,0.5
505,0.5,0.5,0.5,2,2,0.5,0.5,0.5,0.5
508,0.5,2,0.5,2,0.5,0.5,0.5,0.5,0.5
