796,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
789,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
781,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
799,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
797,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
787,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
786,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
795,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
788,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
798,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
785,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
