"gene_name","module","kME"
"SPOCK1","turquoise",0.398498210263091
"IL32","turquoise",0.395621861593509
"PLCB1","turquoise",0.395054934333375
"AKR7A3","turquoise",0.390088941044349
"FAM129A","turquoise",0.389951403159004
"WBSCR17","turquoise",0.387626152926832
"PPIB","turquoise",0.385567926761036
"AQP8","turquoise",0.382555568109918
"XBP1","turquoise",0.380818158162656
"FTH1","turquoise",0.379164887493296
"SLC39A5","turquoise",0.37631231018759
"PDIA6","turquoise",0.373221895634692
"NUCB2","turquoise",0.365699890536951
"SERPINA1","turquoise",0.364438966347353
"HHIP","turquoise",0.363522775121812
"RPLP0","turquoise",0.362680051524542
"SNTB1","turquoise",0.359169683464721
"MID1IP1","turquoise",0.357993677552463
"MECOM","turquoise",0.357888718692138
"NR5A2","turquoise",0.353567828629729
"TC2N","turquoise",0.352590346762054
"SERPINF1","turquoise",0.349480893913467
"SERPINA4","turquoise",0.345170438803797
"GNB2L1","turquoise",0.341642965041064
"ATF3","turquoise",0.337991683497228
"MSRB1","turquoise",0.335394123164812
"FAM46C","turquoise",0.33432913344045
"LMAN2","turquoise",0.329538830988588
"YBX3","turquoise",0.328418206242027
"PDIA4","turquoise",0.327420370284584
"PTF1A","turquoise",0.327302969939888
"LGR4","turquoise",0.327074193829242
"ELMO1","turquoise",0.326795251041919
"MPV17L","turquoise",0.325592178108078
"CHRM3","turquoise",0.32467088158713
"HSP90B1","turquoise",0.323057055712979
"CATSPERB","turquoise",0.322770739687444
"NRG3","turquoise",0.319957474754786
"SSR3","turquoise",0.319334392927501
"SLC43A1","turquoise",0.319073894099251
"SERP1","turquoise",0.318720910995257
"HSPA5","turquoise",0.317693867340815
"TKT","turquoise",0.317434399858871
"SPCS3","turquoise",0.315233889036498
"ELN","turquoise",0.314295366846073
"SSR2","turquoise",0.313617861235583
"TM4SF4","turquoise",0.312963140723058
"ANPEP","turquoise",0.312401183980377
"ZNF385B","turquoise",0.311851961673238
"ZNF503","turquoise",0.310412236237335
"NFKBIZ","turquoise",0.310329022580705
"EGR1","turquoise",0.309755965081409
"BCAM","turquoise",0.309710445049285
"ZFP36L1","turquoise",0.309177586755726
"CLU","turquoise",0.30848873977877
"ITM2A","turquoise",0.308345516928154
"CD63","turquoise",0.307483806909618
"PABPC4","turquoise",0.30660159752082
"DDIT4","turquoise",0.305435079841796
"UGDH","turquoise",0.304162068622423
"IGFBP2","turquoise",0.303773589901013
"ADD3","turquoise",0.303176640288903
"KIRREL2","turquoise",0.3015619982121
"DTNA","turquoise",0.301309163051139
"DDOST","turquoise",0.300782363322707
"SERPINB6","turquoise",0.298146366921755
"BTG1","turquoise",0.297620110078524
"SLC39A14","turquoise",0.296892044294142
"ATE1","turquoise",0.296436625301412
"FKBP11","turquoise",0.295371001629098
"TGFB2","turquoise",0.294892739821611
"POMC","turquoise",0.29234603624355
"SLC2A14","turquoise",0.291453223205908
"BMP7","turquoise",0.290472683779815
"PRDX4","turquoise",0.289452203412333
"RPN2","turquoise",0.288106422428435
"GLTSCR2","turquoise",0.286111121342882
"PRKG1","turquoise",0.284830540945452
"IER2","turquoise",0.284802940999362
"CYB5A","turquoise",0.282229020541838
"CIB2","turquoise",0.280916600040653
"COL21A1","turquoise",0.280597157539985
"ERBB3","turquoise",0.279978762884116
"GATA4","turquoise",0.279674892202205
"EIF4EBP1","turquoise",0.279328547649018
"EPHX1","turquoise",0.27923761716108
"IL22RA1","turquoise",0.277575085398636
"PDZRN3","turquoise",0.277453992349862
"PABPC1","turquoise",0.276791960161105
"F3","turquoise",0.276625286952444
"ZNF704","turquoise",0.275996482540138
"JUN","turquoise",0.275964715421218
"RAB11FIP1","turquoise",0.275289145686972
"FLRT2","turquoise",0.273993883817031
"MAP3K5","turquoise",0.273874746146652
"MKNK1","turquoise",0.273797399613838
"GDPD5","turquoise",0.272030389729888
"TMED10","turquoise",0.271704826693473
"RPLP1","turquoise",0.270084225763807
"LDLR","turquoise",0.269935263039197
"TMEM181","turquoise",0.269420770008914
"ZFP36L2","turquoise",0.268991562655181
"SMOC2","turquoise",0.268558534481178
"H3F3B","turquoise",0.265992880412341
"TCEA3","turquoise",0.265472933680219
"FBXO2","turquoise",0.265113474547347
"CTNND2","turquoise",0.264007403400898
"FOS","turquoise",0.26305441464549
"HEXDC","turquoise",0.261414876554207
"HIST1H1C","turquoise",0.261064597746611
"GPR161","turquoise",0.260290260146276
"FAU","turquoise",0.260034281895608
"OSTC","turquoise",0.257974325032705
"EEF1B2","turquoise",0.256454203901631
"DUSP2","turquoise",0.256075913630992
"TMED9","turquoise",0.255784137027155
"HIST1H2BK","turquoise",0.254481710581047
"TMEM51","turquoise",0.254385812176299
"C9orf84","turquoise",0.253780332923305
"CBS","turquoise",0.252206769578039
"PELI2","turquoise",0.251586457208096
"RNF186","turquoise",0.251565652903272
"TFR2","turquoise",0.249901297556506
"MYC","turquoise",0.249680383212979
"KLB","turquoise",0.249132724541716
"JUND","turquoise",0.248828179861058
"TMED2","turquoise",0.248207221978143
"FOSB","turquoise",0.247832212958223
"SLC25A37","turquoise",0.246436884603045
"CANX","turquoise",0.246334439266844
"JUNB","turquoise",0.24584979035039
"PACSIN2","turquoise",0.245186598040065
"TRAM1","turquoise",0.245181173810612
"CELA2A","turquoise",0.243142563147862
"HERPUD1","turquoise",0.242186764174272
"OS9","turquoise",0.24155617297896
"EEF2","turquoise",0.241039219939997
"GCAT","turquoise",0.239897368630459
"BRSK2","turquoise",0.239656917421734
"KCTD16","turquoise",0.239092754367209
"PPIF","turquoise",0.238453361441651
"CKAP4","turquoise",0.238180802905182
"CD81","turquoise",0.237213062418074
"NOMO1","turquoise",0.236798446746822
"HMGCS1","turquoise",0.236641661928426
"SH3BP4","turquoise",0.236354677307042
"SEC61A1","turquoise",0.235940685834354
"IMPA2","turquoise",0.235079553333882
"TNKS1BP1","turquoise",0.234305606273021
"KRT18","turquoise",0.234190345073505
"PDCD4","turquoise",0.234063297562589
"FTL","turquoise",0.233775571044997
"EGF","turquoise",0.232887868329384
"THBS1","turquoise",0.23282864296132
"ZFP36","turquoise",0.230785921072476
"SSFA2","turquoise",0.228706991122456
"ENKD1","turquoise",0.226771066035622
"CDH1","turquoise",0.225429148605715
"RPLP2","turquoise",0.225055632659433
"REG4","turquoise",0.22502923502061
"FREM2","turquoise",0.222566352727918
"C1orf233","turquoise",0.222458522069892
"ITPR2","turquoise",0.222381156912532
"BSPRY","turquoise",0.222342398897999
"SLC38A10","turquoise",0.221678358489508
"MTUS1","turquoise",0.221448905154785
"CLSTN1","turquoise",0.221432884678612
"EEF1D","turquoise",0.220953520437543
"NRG4","turquoise",0.220481012644544
"PHGDH","turquoise",0.219016827714379
"TMEM258","turquoise",0.218920959290135
"CUZD1","turquoise",0.218111458777831
