"gene_name","module","kME"
"UQCR11","blue",0.160443951409995
"NUCB1","blue",0.160279637558503
"MDK","blue",0.160243790727701
"PGRMC1","blue",0.159195193718222
"HINT1","blue",0.157957424540099
"ETFB","blue",0.157858144116523
"MID1IP1","blue",0.157496724203183
"CFL1","blue",0.156979289435394
"H1FX","blue",0.156702123986585
"COX6C","blue",0.15654034788109
"ADH1A","blue",0.15628247506294
"NDUFA4","blue",0.156101705155394
"SIGMAR1","blue",0.156068522872703
"HLA-A","blue",0.155989105756988
"TMED2","blue",0.155401501638041
"UGT2B10","blue",0.154901545456053
"SMLR1","blue",0.154493264146175
"RPN2","blue",0.154466813664322
"HFE2","blue",0.154199518539671
"SAA4","blue",0.154031517703054
"CFB","blue",0.153226614458856
"MLEC","blue",0.152643876132793
"DHRS7","blue",0.152518972886085
"SSR4","blue",0.152072208186263
"UQCR10","blue",0.151950070935783
"YWHAE","blue",0.151048356753889
"AZGP1","blue",0.151027356060362
"H1F0","blue",0.150943418994503
"ACSL4","blue",0.150886866883185
"PCYOX1","blue",0.150670701041542
"PRDX6","blue",0.150593664169645
"ECHS1","blue",0.150395611930474
"FN1","blue",0.150082291093298
"COX7C","blue",0.149474260507436
"SQLE","blue",0.149453048195955
"ATP5G3","blue",0.148805265796111
"MSMO1","blue",0.148244638507656
"ADH6","blue",0.148179572573343
"ATP5E","blue",0.148020688407706
"CYP17A1","blue",0.14779976612517
"ESPN","blue",0.147238303509325
"BSG","blue",0.147197623853621
"PDIA6","blue",0.146601179708283
"TMEM123","blue",0.146434731680698
"EIF4G1","blue",0.146407653243976
"SEPHS2","blue",0.145776466436798
"IGFBP4","blue",0.145592977217244
"PFDN5","blue",0.145160027828053
"NDUFS5","blue",0.145055284200342
"FTH1","blue",0.1448704286032
"ATP5D","blue",0.144825506645728
"C14orf1","blue",0.144686605041457
"MGST1","blue",0.144515830204527
"MZT2B","blue",0.144468695578973
"REEP6","blue",0.144465628848582
"TCEAL8","blue",0.144187583614451
"FASN","blue",0.143923513922907
"MBNL3","blue",0.143828183483055
"PAQR9","blue",0.143101449889407
"HBB","blue",0.143005137250879
"OST4","blue",0.142888553705742
"CIDEB","blue",0.142813457319859
"GLTSCR2","blue",0.142744052210929
"MSRB1","blue",0.142007218167399
"GGCX","blue",0.141988551119435
"SLC26A1","blue",0.141274283065894
"FCGRT","blue",0.140052836311949
"IGF2R","blue",0.140031437765462
"FAM151A","blue",0.139966016722132
"AHCY","blue",0.139880117315732
"SLC39A5","blue",0.139784872244969
"CUTA","blue",0.138407262555041
"AURKAIP1","blue",0.138326407785995
"FFAR4","blue",0.138293822694946
"TRAM1","blue",0.1377135067168
"AKR1C1","blue",0.137240389954784
"POLR2L","blue",0.137189814544481
"HSPD1","blue",0.137131058080373
"CD164","blue",0.137125665139729
"LMAN2","blue",0.137125391966269
"CALM1","blue",0.136891225418524
"BEX1","blue",0.136736080116591
"ADI1","blue",0.136725515843619
"H2AFZ","blue",0.136551305857262
"SULT2A1","blue",0.136499539497725
"NDUFC2","blue",0.136426778384278
"SERINC1","blue",0.136318452943269
"NDUFB7","blue",0.136255128953509
"SLC25A5","blue",0.136225090870613
"PEG3","blue",0.136192127915478
"SURF4","blue",0.136097810858272
"ALDH2","blue",0.135970233031961
"CHCHD2","blue",0.135767611693855
"EIF5A","blue",0.135624896476544
"OSTC","blue",0.135602370629374
"OAZ1","blue",0.134652808356316
"ERGIC3","blue",0.134558363194903
"COX5B","blue",0.134515252529489
"PRDX5","blue",0.134401393434112
"SERPINA7","blue",0.134162100853351
"SERBP1","blue",0.133961937840947
"ZFP36L1","blue",0.133642198899512
"FIS1","blue",0.133452496943985
"ATP5I","blue",0.133314645540701
"ST3GAL1","blue",0.133297681631596
"HADHA","blue",0.133258956487726
