1,00:00:10.644,00:00:10.644,Entire session loads
2,00:00:03.913,00:00:14.557,Reach Gene Clust tab
3,00:00:56.257,00:01:10.814,Showing the gene modules
4,00:00:05.233,00:01:16.047,Reach Gene Heatmap tab
5,00:03:58.246,00:05:14.293,Showing the gene heatmap
